timestamp,cenario,servidor,caminho,Execucao,total_requisicoes,numero_threads,sucesso,erros,tempo_total,cpu,memoria,latencia_media,rps,latencia_min,latencia_max
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=5,nginx,/arquivo_10kb.txt,0,20,5,20,0,0.043482303619384766,0.0,15.995864844766317,8.609342575073242,459.95723168364606,5.342960357666016,16.345500946044922
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=5,nginx,/arquivo_10kb.txt,1,20,5,20,0,0.020437955856323242,0.0,15.995864844766317,3.893101215362549,978.571445236401,2.00653076171875,8.579015731811523
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=5,nginx,/arquivo_10kb.txt,2,20,5,20,0,0.010618448257446289,0.0,15.995864844766317,1.967179775238037,1883.5143813009408,1.0285377502441406,3.8309097290039062
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=5,nginx,/arquivo_10kb.txt,3,20,5,20,0,0.024876117706298828,0.0,15.995864844766317,4.771149158477783,803.9839751576607,1.9772052764892578,10.984182357788086
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=5,nginx,/arquivo_10kb.txt,4,20,5,20,0,0.025298595428466797,0.0,15.995864844766317,4.551422595977783,790.5577231175196,2.3708343505859375,8.584976196289062
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=10,nginx,/arquivo_10kb.txt,0,20,10,20,0,0.02045893669128418,0.0,15.995864844766317,5.1946282386779785,977.5679108738973,2.538442611694336,8.545875549316406
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=10,nginx,/arquivo_10kb.txt,1,20,10,20,0,0.017670392990112305,0.0,15.995864844766317,5.4781317710876465,1131.836740201039,1.5900135040283203,9.868144989013672
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=10,nginx,/arquivo_10kb.txt,2,20,10,20,0,0.017908096313476562,0.0,15.995864844766317,5.560696125030518,1116.8132921503889,1.8723011016845703,13.75722885131836
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=10,nginx,/arquivo_10kb.txt,3,20,10,20,0,0.023578405380249023,97.73807166666668,16.724227439551164,6.629800796508789,848.2337833055261,2.2521018981933594,13.222455978393555
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=10,nginx,/arquivo_10kb.txt,4,20,10,20,0,0.024837732315063477,97.71974794444446,16.724227439551164,7.673859596252441,805.2264895322384,2.3703575134277344,18.054962158203125
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=15,nginx,/arquivo_10kb.txt,0,20,15,20,0,0.02447056770324707,97.69781955555557,16.724227439551164,7.096576690673828,817.3083780702865,3.952503204345703,10.978937149047852
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=15,nginx,/arquivo_10kb.txt,1,20,15,20,0,0.015956878662109375,97.68159855555557,16.724227439551164,4.602921009063721,1253.37795840306,2.568960189819336,6.584405899047852
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=15,nginx,/arquivo_10kb.txt,2,20,15,20,0,0.01679682731628418,97.66928261111113,16.724227439551164,4.805266857147217,1190.7010546337171,2.0160675048828125,8.522748947143555
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=15,nginx,/arquivo_10kb.txt,3,20,15,20,0,0.02292037010192871,97.65186005555557,16.724227439551164,7.436275482177734,872.5862589067457,2.8183460235595703,13.349533081054688
2025-11-23 18:22:33,/arquivo_10kb.txt|threads=15,nginx,/arquivo_10kb.txt,4,20,15,20,0,0.02161884307861328,97.63563905555557,16.724227439551164,5.74188232421875,925.1188848206803,1.9731521606445312,13.556480407714844
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=5,nginx,/arquivo_1mb.txt,0,20,5,20,0,0.026469945907592773,97.61611377777778,16.724227439551164,5.037438869476318,755.5738900948452,1.0523796081542969,13.507843017578125
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=5,nginx,/arquivo_1mb.txt,1,20,5,20,0,0.022794485092163086,97.5998927777778,16.724227439551164,3.997313976287842,877.4052109155188,1.3971328735351562,12.682676315307617
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=5,nginx,/arquivo_1mb.txt,2,20,5,20,0,0.01896381378173828,97.58457294444446,16.724227439551164,3.645658493041992,1054.6401810409857,1.188039779663086,14.47153091430664
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=5,nginx,/arquivo_1mb.txt,3,20,5,20,0,0.019498586654663086,97.56925311111112,16.724227439551164,3.863704204559326,1025.7153687196605,1.7919540405273438,8.803606033325195
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=5,nginx,/arquivo_1mb.txt,4,20,5,20,0,0.01834392547607422,97.55423366666668,16.724227439551164,3.6007165908813477,1090.2791785807121,1.4770030975341797,13.251543045043945
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=10,nginx,/arquivo_1mb.txt,0,20,10,20,0,0.04133486747741699,97.53050294444446,16.724227439551164,10.84601879119873,483.8530088653812,3.0095577239990234,33.88500213623047
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=10,nginx,/arquivo_1mb.txt,1,20,10,20,0,0.022517681121826172,97.51127805555556,16.724227439551164,6.45374059677124,888.1909239141944,1.5065670013427734,14.21666145324707
2025-11-23 18:22:33,/arquivo_1mb.txt|threads=10,nginx,/arquivo_1mb.txt,2,20,10,20,0,0.025733470916748047,97.4941558888889,16.724227439551164,7.783329486846924,777.1979172457243,2.5038719177246094,19.33574676513672
